ship,points,winnings,date,notes,timestamp
"Radiance of the Seas",1009,780,"2025-10-04","Grand total now 13190","2025-10-04T00:00:00.000Z"
"Liberty of the Seas",7482,1488,"2025-01-15","Grand total now 20682","2025-01-15T00:00:00.000Z"
