cruiseId,shipName,sailDateStart,sailDateEnd,sourceType,category,description,amount,verified
6458636,Harmony of the Seas,3/16/26,4/1/26,RECEIPT,Amount Paid,16-Night Spain & Bahamas Transatlantic,200,TRUE
6458636,Harmony of the Seas,3/16/26,4/1/26,RECEIPT,Balance Due,16-Night Spain & Bahamas Transatlantic,29.19,TRUE
4359818,Quantum of the Seas,1/16/26,1/21/26,RECEIPT,Retail Cost,5-Night Cabo Overnight Cruise,1190,TRUE
4359818,Quantum of the Seas,1/16/26,1/21/26,RECEIPT,Casino Comp,5-Night Cabo Overnight Cruise,-1190,TRUE
4359818,Quantum of the Seas,1/16/26,1/21/26,RECEIPT,Taxes/Fees,5-Night Cabo Overnight Cruise,129.95,TRUE
4359818,Quantum of the Seas,1/16/26,1/21/26,RECEIPT,Amount Paid,5-Night Cabo Overnight Cruise,129.95,TRUE
4359818,Quantum of the Seas,1/16/26,1/21/26,RECEIPT,Balance Due,5-Night Cabo Overnight Cruise,0,TRUE
8169385,Quantum of the Seas,1/7/26,1/13/26,RECEIPT,Retail Cost,6-Night Cabo Overnight and Ensenada,1694,TRUE
8169385,Quantum of the Seas,1/7/26,1/13/26,RECEIPT,Casino Comp,6-Night Cabo Overnight and Ensenada,-1694,TRUE
8169385,Quantum of the Seas,1/7/26,1/13/26,RECEIPT,Taxes/Fees,6-Night Cabo Overnight and Ensenada,149.47,TRUE
8169385,Quantum of the Seas,1/7/26,1/13/26,RECEIPT,Amount Paid,6-Night Cabo Overnight and Ensenada,0,TRUE
8169385,Quantum of the Seas,1/7/26,1/13/26,RECEIPT,Balance Due,6-Night Cabo Overnight and Ensenada,149.47,TRUE
4372586,Quantum of the Seas,11/10/25,11/14/25,RECEIPT,Retail Cost,4-Night Ensenada Cruise,1036,TRUE
4372586,Quantum of the Seas,11/10/25,11/14/25,RECEIPT,Casino Comp,4-Night Ensenada Cruise,-1036,TRUE
4372586,Quantum of the Seas,11/10/25,11/14/25,RECEIPT,Taxes/Fees,4-Night Ensenada Cruise,138.24,TRUE
4372586,Quantum of the Seas,11/10/25,11/14/25,RECEIPT,Amount Paid,4-Night Ensenada Cruise,138.24,TRUE
4372586,Quantum of the Seas,11/10/25,11/14/25,RECEIPT,Balance Due,4-Night Ensenada Cruise,0,TRUE
1627512,Symphony of the Seas,2/22/26,3/1/26,RECEIPT,Retail Cost,7-Night Western Caribbean & Perfect Day,2802,TRUE
1627512,Symphony of the Seas,2/22/26,3/1/26,RECEIPT,Casino Comp,7-Night Western Caribbean & Perfect Day,-2802,TRUE
1627512,Symphony of the Seas,2/22/26,3/1/26,RECEIPT,Taxes/Fees,7-Night Western Caribbean & Perfect Day,168.89,TRUE
1627512,Symphony of the Seas,2/22/26,3/1/26,RECEIPT,Amount Paid,7-Night Western Caribbean & Perfect Day,168.89,TRUE
1627512,Symphony of the Seas,2/22/26,3/1/26,RECEIPT,Balance Due,7-Night Western Caribbean & Perfect Day,0,TRUE
1332345,Harmony of the Seas,3/1/26,3/8/26,RECEIPT,Retail Cost,7-Night Western Caribbean Cruise,2468,TRUE
1332345,Harmony of the Seas,3/1/26,3/8/26,RECEIPT,Casino Comp,7-Night Western Caribbean Cruise,-2468,TRUE
1332345,Harmony of the Seas,3/1/26,3/8/26,RECEIPT,Taxes/Fees,7-Night Western Caribbean Cruise,151.17,TRUE
1332345,Harmony of the Seas,3/1/26,3/8/26,RECEIPT,Amount Paid,7-Night Western Caribbean Cruise,151.17,TRUE
1332345,Harmony of the Seas,3/1/26,3/8/26,RECEIPT,Balance Due,7-Night Western Caribbean Cruise,0,TRUE
