cruiseId,shipName,sailDateStart,sailDateEnd,sourceType,category,description,amount,verified
2755395,Liberty of the Seas,10/16/25,10/16/25,RECEIPT,Taxes/Fees,9 Night Canada & New England,195,TRUE
2755395,Liberty of the Seas,10/16/25,10/16/25,RECEIPT,Amount Paid,9 Night Canada & New England,195,TRUE
2755395,Liberty of the Seas,10/16/25,10/16/25,RECEIPT,Balance Due,9 Night Canada & New England,0,TRUE
7836829,Radiance of the Seas,9/26/25,9/26/25,RECEIPT,Retail Cost,8 Night Pacific Coastal,1850,TRUE
7836829,Radiance of the Seas,9/26/25,9/26/25,RECEIPT,Casino Comp,8 Night Pacific Coastal,-1220,TRUE
7836829,Radiance of the Seas,9/26/25,9/26/25,RECEIPT,Taxes/Fees,8 Night Pacific Coastal,172.13,TRUE
7836829,Radiance of the Seas,9/26/25,9/26/25,RECEIPT,Amount Paid,8 Night Pacific Coastal,172.13,TRUE
7836829,Radiance of the Seas,9/26/25,9/26/25,RECEIPT,Balance Due,8 Night Pacific Coastal,0,TRUE
3156149,Navigator of the Seas,9/8/25,9/12/25,RECEIPT,Retail Cost,4 Night Catalina & Ensenada,999,TRUE
3156149,Navigator of the Seas,9/8/25,9/12/25,RECEIPT,Casino Comp,4 Night Catalina & Ensenada,-620,TRUE
3156149,Navigator of the Seas,9/8/25,9/12/25,RECEIPT,Taxes/Fees,4 Night Catalina & Ensenada,136.58,TRUE
3156149,Navigator of the Seas,9/8/25,9/12/25,RECEIPT,Amount Paid,4 Night Catalina & Ensenada,136.58,TRUE
3156149,Navigator of the Seas,9/8/25,9/12/25,RECEIPT,Balance Due,4 Night Catalina & Ensenada,0,TRUE
5207254,Navigator of the Seas,9/15/25,9/19/25,RECEIPT,Retail Cost,4 Night Catalina & Ensenada,1050,TRUE
5207254,Navigator of the Seas,9/15/25,9/19/25,RECEIPT,Casino Comp,4 Night Catalina & Ensenada,-675,TRUE
5207254,Navigator of the Seas,9/15/25,9/19/25,RECEIPT,Taxes/Fees,4 Night Catalina & Ensenada,132.5,TRUE
5207254,Navigator of the Seas,9/15/25,9/19/25,RECEIPT,Amount Paid,4 Night Catalina & Ensenada,132.5,TRUE
5207254,Navigator of the Seas,9/15/25,9/19/25,RECEIPT,Balance Due,4 Night Catalina & Ensenada,0,TRUE
